title,description,url,category
Steve Cohen will battle with himself — and starving Mets fans will win - New York Post ,Steve Cohen has visions of dropping below what even he wryly called on Tuesday the “Cohen Tax” threshold.,https://nypost.com/2025/02/18/sports/steve-cohen-will-battle-with-himself-and-starving-mets-fans-will-win/,sports
"College football's credibility at stake as Big Ten, SEC aim to tighten stranglehold on playoff access - CBS Sports",The two power leagues are seeking four automatic bids apiece as talks are scheduled to resume on Wednesday,https://www.cbssports.com/college-football/news/college-footballs-credibility-at-stake-as-big-ten-sec-aim-to-tighten-stranglehold-on-playoff-access/,sports
Motorsport.com ranks every 2025 F1 livery - Motorsport.com,"The 2025 F1 season has arrived, beginning with a history-making reveal of all 10 team's liveries for the year. What's the best-looking one to grace the stage? You'll have to see them all to find out.",https://www.motorsport.com/f1/news/motorsportcom-ranks-every-2025-f1-livery-/10696926/,sports
Source: Giroud's L.A. home robbed in $500K heist - ESPN,"LAFC striker Olivier Giroud lost approximately $500,000 worth of jewelry when his Los Angeles home was burglarized earlier this month, a source told ESPN.",https://www.espn.com/soccer/story/_/id/43909762/lafc-striker-giroud-home-robbed-500k-heist,sports
Cubs To Sign Justin Turner - MLB Trade Rumors,The Chicago Cubs have reached an agreement with free agent Justin Turner.,https://www.mlbtraderumors.com/2025/02/cubs-close-to-signing-justin-turner.html,sports
The Real Madrid starting lineup that has a 99% chance of beating Manchester City - AS USA,Antonio Rüdiger is fit to return for the Champions League knockout phase playoff game and will renew his titanic battle with Erling Haaland.,https://en.as.com/soccer/the-real-madrid-starting-lineup-that-has-a-99-chance-of-beating-manchester-city-n/,sports
Rob Manfred Defends Dodgers Amid MLB Fan Criticism Over Spending Spree - Sports Illustrated,MLB commissioner Rob Manfred defended the Dodgers from fan criticism over the club's spending in free agency.,https://www.si.com/mlb/rob-manfred-defends-dodgers-amid-mlb-fan-criticism-over-spending-spree,sports
"Saints Hire Scott Tolzien, T.J. Paganetti; ‘Zeroing In’ On Doug Nussmeier As OC - profootballrumors.com",The Eagles are continuing to fill out the staff of new head coach Kellen Moore.,https://www.profootballrumors.com/2025/02/saints-hire-scott-tolzien-t-j-paganetti-zeroing-in-on-doug-nussmeier-as-oc,sports
Diagnostic dilemma: Weakness in a man's leg revealed his abnormally small brain - Livescience.com,"A man went to hospital complaining about weakness in his left leg, and subsequent brain scans revealed a surprising finding.",https://www.livescience.com/health/diagnostic-dilemma-weakness-in-a-mans-leg-revealed-his-abnormally-small-brain,health
Here’s What You Should Know If You Drink Ginger Ale To Settle Your Stomach - BuzzFeed,Sorry to burst your bubble.,https://www.buzzfeed.com/kelseyborresen/does-ginger-ale-actually-help-upset-stomach-sc,health
"The dietary supplements you think are improving your health may be damaging your liver, research warns - Fortune",A 2022 study in the journal Liver Transplantation found that liver failure tied to herbal and dietary supplements had increased eightfold from 1995–2020.,https://fortune.com/well/article/dietary-supplements-can-cause-liver-damage/,health
3 more Portland-area cats test positive for bird flu as infections spread - OregonLive,At least four Oregon cats have been euthanized in the past two months after developing severe symptoms from bird flu.,https://www.oregonlive.com/health/2025/02/3-more-portland-area-cats-test-positive-for-bird-flu-as-infections-spread.html,health
"Bird flu latest updates: Wyoming confirms state's 1st human case of bird flu, bringing total to 70 across 13 states - Yahoo",Yahoo News provides the latest updates on the spread of bird flu in the U.S. and its effect on rising egg prices and shortages.,https://www.yahoo.com/news/live/bird-flu-latest-updates-wyoming-confirms-states-1st-human-case-of-bird-flu-bringing-total-to-70-across-13-states-163513945.html,health
Want better focus and a happier mind? This simple smartphone change could be the answer - PsyPost,"Feeling overwhelmed and distracted? New research reveals a potential solution: block mobile internet on your phone. The findings suggest it can boost your mood, sharpen focus, and improve mental well-being.",https://www.psypost.org/want-better-focus-and-a-happier-mind-this-simple-smartphone-change-could-be-the-answer/,health
"As egg prices soar, Trump administration plans new strategy to fight bird flu - The Associated Press","With egg prices soaring, the Trump administration is planning a new strategy for fighting bird flu that stresses vaccinations and tighter biosecurity instead of killing off millions of chickens when the disease strikes a flock. The director of the National Ec…",https://apnews.com/article/trump-administration-egg-prices-shortage-bird-flu-9a0dac14ed29ecacd7f0f913d602c3aa,health
Why We Keep Exploring Even After Learning the Best Strategy - Neuroscience News,A new study reveals that both humans and marmosets continue to adjust their behavior even after learning an optimal task strategy.,https://neurosciencenews.com/exploration-learning-neuroscience-24831/,health
New Mexico initiates milk testing program for avian flu this week - Source New Mexico,New Mexico will begin testing milk this week for a variant of avian influenza passing among dairy cows and raising concern for human spread.,https://sourcenm.com/2025/02/18/new-mexico-initiates-milk-testing-program-for-avian-flu-this-week/,health
Ten more measles cases—58 total—confirmed in Texas outbreak - University of Minnesota Twin Cities,"The latest update includes a case from Lubbock County, pushing the number of affected counties to 5.",https://www.cidrap.umn.edu/measles/ten-more-measles-cases-58-total-confirmed-texas-outbreak,health
"7-Day Mediterranean Diet Meal Plan for Healthy Aging, Created by a Dietitian - EatingWell","Increase your number of healthy years by following this 7-day Mediterranean diet meal plan to help promote longevity, created by a dietitian.",https://www.eatingwell.com/7-day-mediterranean-diet-meal-plan-for-healthy-aging-11681866,health
"Flu Skyrockets Across California, Claiming 11 Children - Patch","Nearly a third of CA lab specimens are coming back positive for influenza, and more than 750 people have died this flu season statewide.",https://patch.com/california/los-angeles/flu-skyrockets-across-california-claiming-11-children,health
Health | NEW: More Than 900 in Rhode Island With Flu and Norovirus Hospitalized This Winter - GoLocalProv,"The Rhode Island Department of Health (RIDOH) reports more than 900 people in Rhode Island have been hospitalized with influenza this flu season, the most since the 2019-2020 flu season.",https://www.golocalprov.com/health/new-more-than-900-in-rhode-island-with-flu-and-norovirus-hospitalized-this,health
Risk and future burden of dementia in the United States - National Institutes of Health,Researchers estimated that 42% of Americans over age 55 will eventually develop dementia.,https://www.nih.gov/news-events/nih-research-matters/risk-future-burden-dementia-united-states,health
Worst ultra-processed foods to buy from supermarkets and their healthy alternatives - The Times of India,Discover the worst ultra-processed foods in supermarkets and their healthier alternatives as America aims to combat the obesity epidemic and promote a healthier society. Learn how to make better food choices for you and your family.,https://timesofindia.indiatimes.com/life-style/food-news/worst-ultra-processed-foods-to-buy-from-supermarkets-and-their-healthy-alternatives/articleshow/118259826.cms,health
People are flocking to backyard chickens: Protect them from bird flu - Deseret News,How does bird flu spread? What is avian influenza? Can people get bird flu from backyard chickens? How can you prevent bird flu? Read more,https://www.deseret.com/lifestyle/2025/02/18/avian-influenza-protect-backyard-chickens-bird-flu/,health
Experts to gather in Miami to drive longevity research forward - Cointelegraph,Top experts will meet in the Magic City to discuss the latest developments in longevity research and shape the future of the field,https://cointelegraph.com/news/experts-to-gather-in-miami-to-drive-longevity-research-forward,health
Rihanna Is ‘Thankful’ for A$AP Rocky’s Acquittal in Instagram Note - Yahoo Entertainment,Rihanna issued her first statement via an Instagram photo after A$AP Rocky‘s acquittal on Tuesday in an assault case. The singer shared a note in her stories...,https://www.yahoo.com/entertainment/rihanna-thankful-ap-rocky-acquittal-092736917.html,entertainment
Blake Lively Alleges Justin Baldoni Made Other Women “Uncomfortable” On ‘It Ends With Us’ & Says They Will Testify At Trial; Defamation Claim Added To Suit - Deadline,"In a 141-page amended complaint, Blake Lively says other women who were uncomfortable around Justin Baldoni will testify at trial, adds defamation claim",http://deadline.com/2025/02/blake-lively-latest-lawsuit-justin-baldoni-1236294318/,entertainment
"Horoscope for Wednesday, February 19, 2025 - Chicago Sun-Times",,https://chicago.suntimes.com/horoscopes/2025/02/19/horoscopes-today-wednesday-february-19-2025,entertainment
Nicole Kidman and Keith Urban's Los Angeles home burglarized on Valentine's Day - ABC7 Los Angeles,"The Los Angeles home of actress Nicole Kidman and musician Keith Urban was burglarized on Valentine's Day, sources told ABC News.",https://abc7.com/post/nicole-kidman-keith-urbans-los-angeles-home-burglarized-valentines-day/15929412/,entertainment
B.J. Novak gives loving tribute to Office costar Mindy Kaling: 'We always knew you'd be famous' - Entertainment Weekly News,"Ryan and Kelly forever! B.J. Novak gives adorably touching tribute (and at times, roast) for his 'The Office' costar Mindy Kaling's Hollywood Walk of Fame star ceremony: 'We always knew you would be famous, but we had no idea how beautifully you’d handle the …",https://ew.com/bj-novak-loving-tribute-office-costar-mindy-kaling-11682104,entertainment
Top TNA Star Appears On WWE NXT - https://wrestletalk.com/,"A top TNA Wrestling star made a surprise appearance to kick off tonight's WWE NXT, challenging NXT Champion Oba Femi.",https://wrestletalk.com/news/top-tna-star-appears-wwe-nxt-moose/,entertainment
Jay-Z Claims Now Dismissed Rape Case Cost Him $20M In Lost Income; Was Timed To Embarrass Daughter Blue Ivy At ‘Mufasa’ Premiere - Deadline,Jay-Z claims now dismissed rape of a minor case cost him millions in biz opportunities & tried to shame him with Beyoncé & Blue Ivy.,http://deadline.com/2025/02/jay-z-extortion-case-latest-sean-diddy-combs-1236293993/,entertainment
Of Course Justin Baldoni’s Lawyer Saw Ryan Reynolds’s SNL Cameo - Vulture,What — did you think a singular sentence from Ryan Reynolds alluding to the Justin Baldoni–Blake Lively legal drama during ‘SNL50’ wouldn’t somehow become a thing?,http://www.vulture.com/article/justin-baldoni-ryan-reynolds-snl50.html,entertainment
"Patricia Heaton says 'The Middle,' 'Everybody Loves Raymond' were TV 'perfection' and don't need reboots - Yahoo Entertainment","Patricia Heaton, whose most recent movie is ""The Unbreakable Boy,"" calls it ""a beautiful thing"" that TikTok has brought new fans to the sitcom ""The Middle.""",https://www.yahoo.com/entertainment/patricia-heaton-says-the-middle-everybody-loves-raymond-were-tv-perfection-and-dont-need-reboots-224747298.html,entertainment
Winnie Harlow Is Engaged to Kyle Kuzma - The Cut,Model Winnie Harlow and NBA star Kyle Kuzma are engaged. Kuzma popped the big question on February 13 in a private jet full of roses and chocolate.,http://www.thecut.com/article/winnie-harlow-kyle-kuzma-engaged.html,entertainment
